Time: 	 2.990307 
Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_5_2_3_1_4_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_5_2_3_1_4_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_5_2_4_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_5_2_3_1_4_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_5_2_4_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_5_2_4_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_5_2_4_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_5_2_3_1_4_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_5_2_4_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_5_4_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_5_2_3_4_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

Fitness = 2.203092	, Genes = 42_48_29_34_41_16_14_25_13_23_11_12_15_40_22_8_9_38_18_7_44_31_46_33_36_28_30_37_19_27_17_43_20_47_21_39_32_24_10_45_35_26_4_5_2_3_1_6_

